Key,English,Dutch
Card.Me1,At peace,In rust
Card.Me2,With attention,Met aandacht
Card.Me3,At peace,In rust
Card.Me4,Marvelling yourself,Je verwonderen
Card.Me5,Being active,Actief
Card.Me6,Helping,Helpen
Card.Me7,Being active,Actief
Card.Me8,Being motivated,Gemotiveerd
Card.Other1,Being active,Actief
Card.Other2,Searching inspiration,Inspiratie opzoeken
Card.Other3,Being active,Actief
Card.Other4,Authentically being yourself,Authentiek jezelf zijn
Card.Other5,At peace,In rust
Card.Other6,Making an inward journey,Reizen in mijzelf
Card.Other7,At peace,In rust
Card.Other8,Living in the now,In het nu zijn
